275	137	23	26
277	135	21	28
280	135	21	28
279	135	22	29
279	136	26	29
279	137	19	28
272	145	21	24
269	152	23	26
267	150	22	27
271	155	21	26
273	158	21	25
280	154	19	20
282	144	19	23
279	144	20	28
282	134	18	22
282	134	18	22
282	134	18	22
282	134	18	22
282	134	18	22
282	134	18	22
279	66	18	26
281	55	23	32
283	52	21	30
283	52	19	31
281	49	20	32
287	59	16	28
288	64	21	31
286	69	20	30
287	72	24	28
282	74	23	28
279	71	24	30
280	63	20	26
279	56	24	30
280	57	23	29
276	56	24	27
276	56	24	27
276	56	24	27
276	56	24	27
276	56	24	27
276	56	24	27
272	39	25	32
266	33	23	30
264	27	21	28
266	26	20	30
264	31	20	26
259	34	23	30
252	35	24	30
252	35	24	29
252	35	24	31
259	45	22	27
269	58	22	31
276	62	22	29
286	68	23	28
286	67	22	30
295	74	23	32
295	74	23	32
295	74	23	32
295	74	23	32
295	74	23	32
295	74	23	32
261	92	25	28
253	82	24	32
251	78	26	34
246	76	29	36
243	73	27	36
243	72	25	36
241	69	26	37
241	67	27	39
242	71	26	39
244	68	23	39
242	65	26	43
238	64	30	39
240	66	25	40
239	64	29	39
241	69	24	36
241	69	24	36
241	69	24	36
241	69	24	36
241	69	24	36
241	69	24	36
225	110	29	33
217	106	27	33
209	105	26	32
211	104	25	37
196	105	30	34
188	108	31	37
190	104	29	34
191	99	25	32
186	98	29	35
184	98	33	36
186	97	32	41
189	102	34	36
193	93	32	42
195	96	31	39
197	94	30	39
197	94	30	39
197	94	30	39
197	94	30	39
197	94	30	39
197	94	30	39
179	102	25	33
176	101	25	36
170	103	27	39
168	104	28	36
166	112	27	35
167	109	28	37
168	108	23	34
163	98	26	38
165	95	26	40
157	91	29	35
153	79	27	37
151	72	28	37
145	60	26	34
146	60	27	33
135	48	27	36
135	48	27	36
135	48	27	36
135	48	27	36
135	48	27	36
135	48	27	36
138	39	31	43
143	49	31	37
149	58	29	38
151	59	29	43
156	67	29	39
156	78	33	38
157	86	32	43
159	96	35	41
159	94	31	46
171	103	29	38
182	104	37	41
192	101	32	38
196	92	36	44
196	91	36	43
204	82	35	43
204	82	35	43
204	82	35	43
204	82	35	43
204	82	35	43
204	82	35	43
193	26	33	44
188	17	38	47
189	10	31	44
186	9	38	43
188	4	30	39
188	4	34	43
187	7	34	44
183	11	35	40
185	12	35	42
177	21	35	40
167	32	36	40
156	51	33	42
155	67	34	43
153	69	31	41
145	77	32	40
145	77	32	40
145	77	32	40
145	77	32	40
145	77	32	40
145	77	32	40
125	49	32	38
119	37	32	42
113	35	34	38
113	33	33	42
114	41	31	40
116	50	36	41
126	52	30	39
136	52	29	41
135	53	33	42
146	56	31	36
154	54	29	37
163	47	31	43
162	43	32	39
164	38	30	40
161	31	28	38
161	31	28	38
161	31	28	38
161	31	28	38
161	31	28	38
161	31	28	38
174	65	30	37
180	77	29	38
183	81	29	42
183	82	29	37
185	83	30	41
184	86	29	35
185	84	28	41
183	85	29	40
183	84	33	40
189	90	27	38
185	93	34	42
